trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.5, 'e': 0.24310860617256666}",20,6,9.801283537976571,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.24164995453553126}",20,0,8.994156721691063,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.24020005480831808}",25,7,-4.975170810463464,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.23875885447946818}",25,3,34.77613962582272,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.23732630135259136}",30,13,27.996349370632178,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.2359023435444758}",30,13,-18.97006628395168,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.23448692948320896}",25,18,1.2879035183633776,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.2330800079063097}",20,12,8.648254129239302,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.23168152785887183}",30,13,31.289137268553368,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.23029143869171861}",30,18,21.161099065922528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.2289096900595683}",20,16,8.15255610821169,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.22753623191921088}",20,2,-0.36153649133981225,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.2261710145276956}",20,0,-30.976142861786254,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
247,False,"{'a': 0.5, 'e': 0.22481398844052944}",25,17,5.806218232001745,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.22346510450988627}",20,7,-30.651933547650675,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
249,False,"{'a': 0.5, 'e': 0.22212431388282694}",30,12,8.384029641604108,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.22079156799952998}",20,0,-22.276096520915647,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
251,False,"{'a': 0.5, 'e': 0.2194668185915328}",20,6,23.815895514244726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.2181500176799836}",20,10,9.776020747708,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.2168411175739037}",30,10,-14.825526748987155,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.21554007086846028}",20,12,2.7766519577702797,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.21424683044324952}",20,3,3.5845806613555187,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.21296134946059}",25,0,12.249992243249476,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.21168358136382648}",20,14,12.711796737032556,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.21041347987564352}",25,10,22.606585866804842,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.20915099899638967}",20,16,8.428234739579018,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.20789609300241133}",20,6,-25.141403056772432,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.20664871644439683}",20,8,-35.57873132750046,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
